url,title,company,categories,raw_phrases,location_raw,location_cities,location_regions,location_countries,location_type,location_is_remote,applicant_location_requirements,location_sources
https://web3.career/technical-lead-wallets-100-remote-poland-tether/107078,Web3 Technical Lead - Wallets (100% remote - Poland) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Warsaw, Poland","Warsaw, Poland",,Poland,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-tether/105878,Web3 Technical Lead - Wallets (100% remote),Tether,Computer Science / Software Engineering; Data Science / Analytics; Other / Unspecified,computer science; computer science; computer science or relevant field advantage; computer science; ci/cd pipelines; computer science; computer science; computer science; distributed system design and high availability architecture; computer science or relevant field advantage; rust that support existing product features and defi integrations in addition to future product builds; building evm compatible and non evm blockchain platforms,United States; Canada,,,United States; Canada,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-tether/105887,Web3 Technical Lead - Wallets (100% remote) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,Remote,,,,TELECOMMUTE,true,Anywhere,title
https://web3.career/technical-lead-wallets-100-remote-tether/108231,Web3 Technical Lead - Wallets (100% remote) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,Remote,,,,TELECOMMUTE,true,Anywhere,title
https://web3.career/technical-lead-wallets-100-remote-uk-tether/105848,Web3 Technical Lead - Wallets (100% remote - UK) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"London, United Kingdom","London, United Kingdom",,United Kingdom,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-uk-tether/108229,Web3 Technical Lead - Wallets (100% remote - UK) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"London, United Kingdom","London, United Kingdom",,United Kingdom,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-vietnam-tether/105849,Web3 Technical Lead - Wallets (100% remote - Vietnam) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam",,Vietnam,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-lead-wallets-100-remote-vietnam-tether/108232,Web3 Technical Lead - Wallets (100% remote - Vietnam) $32k - $54k,Tether,Computer Science / Software Engineering,computer science; computer science,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam",,Vietnam,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-operations-engineer-core-quicknode/107776,"Web3 Technical Operations Engineer, Core $73k - $156k Chile",QuickNode,Data Science / Analytics; Finance / Economics / Business; Other / Unspecified,financial services or investment banking would be a plus; fund accounting or nav oversight a strong plus; order to maintain smooth product operation and growth plan execution,"Chile; New York, United States; Taipei, Taiwan; Hong Kong, Hong Kong; London, United Kingdom","New York, United States; Taipei, Taiwan; Hong Kong, Hong Kong; London, United Kingdom",,Chile; United States; Taiwan; Hong Kong; United Kingdom,TELECOMMUTE,true,Anywhere,jsonld
https://web3.career/technical-operations-engineer-rollups-quicknode/115455,"Web3 Technical Operations Engineer, Rollups $66k - $78k in Delhi",QuickNode,Finance / Economics / Business; Other / Unspecified,finance; the world; the world,"Delhi, India","Delhi, India",,India,TELECOMMUTE,true,Anywhere,jsonld
